Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
        Indonesia,0.156717128,0.164365093,0.173799528,0.162108163,0.181658746,0.196311472,0.203004284,0.262792036,0.214579732,0.215547947,0.255227983,0.253343608,0.237308943,0.303691685
        Iran,0.12305638,0.119335345,0.178134489,0.197878279,0.19153065,0.061532611,0.078606605,0.106647377,0.12903077,0.136961313,0.180982626,0.169374221,0.163815133,0.208228791
        Iraq,0.004343625,0.009384824,0.063628352,0.069032621,0.063623988,0.044140176,0.05023922,0.064596912,0.057353904,0.076075608,0.087000679,0.069940502,0.06873523,0.072157988
        Ireland,0.015614418,0.019446549,0.025822992,0.030591129,0.0321222,0.036822868,0.042642586,0.037942408,0.054309578,0.052218754,0.062457204,0.069261763,0.076804318,0.068031438
        Israel,-0.004580265,-0.004587484,-0.005297843,-0.006043753,-0.006863156,-0.012193064,-0.011941356,-0.011873472,-0.011480948,-0.010523064,-0.010503189,-0.007769018,-0.006418898,-0.003571863
        Italy,0.674828697,0.738579867,0.691881182,0.6924306,0.65890903,0.730773769,0.839546153,0.911231092,0.974368553,1.033974295,1.247716616,1.336325144,1.210906868,1.155697006
        Jamaica,0.001488375,0.002013216,0.002359764,0.002539264,0.002441348,0.002542332,0.00315248,0.00321948,0.003682364,0.003968172,0.003644662,0.00379449,0.003932618,0.004929888
        Japan,3.703268171,4.127593072,4.121248819,4.316769036,3.970483271,3.659693593,3.85221791,4.152170947,2.903984914,1.403975318,1.617327055,1.663270439,1.807700227,1.850966003
        Jordan,0.003842767,0.00333286,0.0031819,0.002172093,0.000863159,0.001515426,0.001538366,0.002873881,0.006269489,0.003006258,0.002219774,0.003563753,0.004827217,0.01089598
        Kazakhstan,0.105410037,0.097680288,0.101925296,0.097537284,0.100292608,0.095422897,0.092942991,0.110077498,0.108920824,0.100352254,0.093072912,0.098065802,0.110683992,0.126495565
        Kenya,0.044438113,0.042265718,0.043126524,0.045173907,0.047380944,0.040783171,0.036482624,0.049571382,0.049733519,0.057215947,0.0565992,0.061035583,0.079151308,0.074118984
        Kiribati,0,0,4.00E-06,3.97E-06,3.95E-06,0.000004927,0.00000488,6.83E-06,6.80E-06,7.61E-06,7.63E-06,0.00000951,0.000037276,0.00004616
        Kosovo,--,--,--,--,--,0.002144794,0.002846968,0.003121684,0.002465828,0.001458016,0.000216541,0.003120812,0.00177027,0.000542111
        Kuwait,0,0,3.61E-39,0,-3.40E-39,-4.50E-39,0,0,-3.05E-39,-1.40E-39,1.91E-06,0.00002853,0.000046595,0.000027696
        Kyrgyzstan,0.130166466,0.128474671,0.117470364,0.11399111,0.116544323,0.096155195,0.09463224,0.101461391,0.12688123,0.127902399,0.123506338,0.125929664,0.104266647,0.105509229
        Laos,0.021754464,0.022640988,0.02759009,0.02936208,0.0283958,0.0316583,0.03036632,0.06304766,0.091422132,0.092197262,0.108228956,0.1084317,0.097194652,0.099947984
        Latvia,0.032609802,0.039015574,0.041348888,0.036083787,0.038001069,0.040023799,0.040141716,0.038209529,0.033924804,0.044741225,0.037654149,0.034155106,0.03189828,0.035591025
        Lebanon,0.015473809,0.011844736,0.011911424,0.00999402,0.0090393,0.005550258,0.00995302,0.012355176,0.010609732,0.010599044,0.013802724,0.002337502,0.005387536,0.003780516
        Lesotho,0.003420281,0.003060052,0.004633897,0.005343955,0.005646336,0.005925336,0.006747568,0.007456476,0.00564796,0.005682496,0.005886035,0.005869852,0.005838921,0.005925604
